requestedUrl,finalUrl,category,name,title,type,score
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","image-alt","Image elements do not have `[alt]` attributes","binary","0"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","input-image-alt","`<input type=""image"">` elements have `[alt]` text","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","label","Form elements have associated labels","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","link-name","Links do not have a discernible name","binary","0"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","list","Lists contain only `<li>` elements and script supporting elements (`<script>` and `<template>`).","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","listitem","List items (`<li>`) are contained within `<ul>` or `<ol>` parent elements","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","meta-refresh","The document does not use `<meta http-equiv=""refresh"">`","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","meta-viewport","`[user-scalable=""no""]` is used in the `<meta name=""viewport"">` element or the `[maximum-scale]` attribute is less than 5.","binary","0"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","object-alt","`<object>` elements have alternate text","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","tabindex","Some elements have a `[tabindex]` value greater than 0","binary","0"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","td-headers-attr","Cells in a `<table>` element that use the `[headers]` attribute refer to table cells within the same table.","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","th-has-data-cells","`<th>` elements and elements with `[role=""columnheader""/""rowheader""]` have data cells they describe.","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","valid-lang","`[lang]` attributes have a valid value","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","video-caption","`<video>` elements contain a `<track>` element with `[kind=""captions""]`","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","logical-tab-order","The page has a logical tab order","manual","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","focusable-controls","Interactive controls are keyboard focusable","manual","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","interactive-element-affordance","Interactive elements indicate their purpose and state","manual","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","managed-focus","The user's focus is directed to new content added to the page","manual","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","focus-traps","User focus is not accidentally trapped in a region","manual","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","custom-controls-labels","Custom controls have associated labels","manual","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","custom-controls-roles","Custom controls have ARIA roles","manual","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","visual-order-follows-dom","Visual order on the page follows DOM order","manual","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","offscreen-content-hidden","Offscreen content is hidden from assistive technology","manual","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","use-landmarks","HTML5 landmark elements are used to improve navigation","manual","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Best Practices","best-practices-score","Overall Best Practices Category Score","numeric","0.67"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Best Practices","is-on-https","Uses HTTPS","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Best Practices","geolocation-on-start","Avoids requesting the geolocation permission on page load","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Best Practices","notification-on-start","Avoids requesting the notification permission on page load","binary","1"
